OBJECTID,Year,Reported Date,Occurred Date,Weekday,Offence Category,Sector,Division,Neighbourhood,Ward,Councillor,x,y
39,2022,2/21/2022 5:00:00 AM,2/21/2022 5:00:00 AM,Tuesday,Murder 1St Dgree,35    ,East                ,Greenboro East                                                                                      ,Ward 10 - Gloucester-Southgate,Jessica Bradley,372676.535400005,5025829.62619946
40,2021,1/16/2021 5:00:00 AM,1/16/2021 5:00:00 AM,Sunday,Murder 1St Dgree,35    ,East                ,Greenboro East                                                                                      ,Ward 10 - Gloucester-Southgate,Jessica Bradley,372592.914000004,5025136.16299946
41,2024,8/7/2024 5:00:00 AM,8/7/2024 5:00:00 AM,Thursday,Murder 2Nd Dgree,31    ,East                ,Orléans Chatelaine Village                                                                          ,Ward 1 - Orléans East-Cumberland,Matthew Luloff,382518.743000006,5039026.59289946
42,2018,2/10/2018 5:00:00 AM,2/8/2018 5:00:00 AM,Friday,Murder 1St Dgree,31    ,East                ,Orléans Chatelaine Village                                                                          ,Ward 1 - Orléans East-Cumberland,Matthew Luloff,383559.907100009,5039618.70109946
43,2024,9/23/2024 5:00:00 AM,9/23/2024 5:00:00 AM,Tuesday,Murder 1St Dgree,36    ,East                ,Metcalfe                                                                                            ,Ward 20 - Osgoode,George Darouze,383701.798900008,5015623.45009946
44,2022,6/28/2022 5:00:00 AM,6/28/2022 5:00:00 AM,Wednesday,Murder 1St Dgree,34    ,East                ,Ledbury - Heron Gate - Ridgemont - Elmwood                                                          ,Ward 18 - Alta Vista,Marty Carr,370260.112200004,5026800.85959946
45,2022,6/28/2022 5:00:00 AM,6/28/2022 5:00:00 AM,Wednesday,Murder 1St Dgree,34    ,East                ,Ledbury - Heron Gate - Ridgemont - Elmwood                                                          ,Ward 18 - Alta Vista,Marty Carr,370260.112200004,5026800.85959946
46,2018,3/4/2018 5:00:00 AM,3/4/2018 5:00:00 AM,Monday,Murder 2Nd Dgree,34    ,East                ,Billings Bridge - Alta Vista                                                                        ,Ward 17 - Capital,Shawn Menard,369015.965000001,5027429.15499946
47,2018,1/18/2018 5:00:00 AM,1/18/2018 5:00:00 AM,Friday,Murder 2Nd Dgree,23    ,Central             ,Centretown                                                                                          ,Ward 14 - Somerset,Ariel Troster,368556.709000002,5030905.57099946
48,2018,5/24/2018 5:00:00 AM,5/24/2018 5:00:00 AM,Friday,Murder 1St Dgree,23    ,Central             ,Centretown                                                                                          ,Ward 14 - Somerset,Ariel Troster,367948.704900004,5031549.57809946
49,2020,1/8/2020 5:00:00 AM,1/8/2020 5:00:00 AM,Thursday,Murder 1St Dgree,23    ,Central             ,Centretown                                                                                          ,Ward 14 - Somerset,Ariel Troster,367617.249600002,5030672.87149946
