OBJECTID,Vehicle Year,Vehicle Make,Vehicle Model,Vehicle Style,Vehicle Colour,Vehicle Value,Weekday,Recovered,Neighbourhood,Ward,Sector,Reported Date,Occurred Date,Year,Intersection,Division,Census Tract,Time of Day,Councillor,Reported Hour,Occurred Hour,x,y
17,2009,"TOYOTA/ TOYOTA MOTOR CO., LTD.",SIENNA (VAN),Truck,RED,8000,Monday,N,Riverside South - Leitrim,Ward 22 - Riverside South-Findlay Creek,Sector 35,1/9/2018 5:00:00 AM,1/8/2018 5:00:00 AM,2018,"HELEN RAPP WAY,SILVERBELL CRES,KELLY FARM DR",East,5050126.08,Evening,Steve Desroches,900,2100,375507.9276,5019745.6318
18,2016,NISSAN,ROGUE,Automobile,BLK,30000,Tuesday,Y,Centretown,Ward 14 - Somerset,Sector 23,1/9/2018 5:00:00 AM,1/9/2018 5:00:00 AM,2018,"ALBERT ST, BANK ST",Central,5050048.00,Evening,Ariel Troster,200,1800,367385.8961,5031422.5726
19,2012,CHEVROLET,EQUINOX,Automobile,RED,,Tuesday,Y,Orléans Avalon - Notting Gate - Fallingbrook - Gardenway South,Ward 1 - Orléans East-Cumberland,Sector 31,1/9/2018 5:00:00 AM,1/9/2018 5:00:00 AM,2018,"BALLANTYNE DR, UNICORN AVE",East,5050170.13,Night,Matthew Luloff,200,200,385678.4652,5037129.774
20,2018,SUBARU,FORRESTER,Automobile,WHI,,Friday,Y,Merivale Gardens - Grenfell Glen - Pineglen - Country Place,Ward 9 - Knoxdale-Merivale,Sector 17,1/10/2018 5:00:00 AM,11/17/2017 5:00:00 AM,2018,"ENTERPRISE AVE, TRADE ST",West,5050130.01,Morning,Sean Devine,1100,800,365623.895,5021301.4884
21,,CATERPILLAR INC,,Other,,30000,Friday,N,Rothwell Heights - Beacon Hill North,Ward 11 - Beacon Hill-Cyrville,Sector 32,1/12/2018 5:00:00 AM,12/29/2017 5:00:00 AM,2018,"CANOTEK RD, CANOTEK RD",East,5050120.02,Evening,Tim Tierney,1500,2300,376519.9195,5035505.5867
22,2015,"HONDA/AMERICAN HONDA MOTOR CO.,",CRV,Suv,BLK,,Thursday,Y,Borden Farm - Stewart Farm - Parkwood Hills - Fisher Glen,Ward 9 - Knoxdale-Merivale,Sector 17,1/12/2018 5:00:00 AM,1/11/2018 5:00:00 AM,2018,"CHESTERTON DR, WOODMOUNT CRES E",West,5050131.01,Evening,Sean Devine,600,2100,365590.5137,5023901.2032
23,1999,"TOYOTA/ TOYOTA MOTOR CO., LTD.",TERCEL,Automobile,GRN,1000,Saturday,N,Lowertown,Ward 12 - Rideau-Vanier,Sector 24,1/13/2018 5:00:00 AM,1/13/2018 5:00:00 AM,2018,"FRIEL ST, RIDEAU ST",Central,5050053.00,,Stéphanie Plante,,,368771.8989,5032569.5813
24,2015,DODGE,,Van,BLU,,Saturday,Y,Crestview - Meadowlands,Ward 8 - College,Sector 17,1/13/2018 5:00:00 AM,1/13/2018 5:00:00 AM,2018,"NAVAHO DR, DEERFIELD DR",West,5050133.00,Evening,Laine Johnson,1900,1800,363163.0155,5023960.3581
25,2013,SUBARU,FORRESTER,Automobile,GRY,,Sunday,Y,Orléans Village - Chateauneuf,Ward 2 - Orléans West-Innes,Sector 31,1/14/2018 5:00:00 AM,1/14/2018 5:00:00 AM,2018,"RANCHWOOD WAY, SABLEWOOD PL CENTRAL",East,5050125.09,Morning,Laura Dudas,1100,1000,380626.9399,5034563.5617
26,2008,NISSAN,ALTIMA,Automobile,SIL,,Sunday,N,Greenboro East,Ward 10 - Gloucester-Southgate,Sector 35,1/14/2018 5:00:00 AM,1/14/2018 5:00:00 AM,2018,"SOMERO PRIV E, TAPIOLA CRES",East,5050001.05,Evening,Jessica Bradley,200,2200,372370.9249,5025398.5195
27,2016,FORD,,Automobile,WHI,,Friday,Y,Carson Grove - Carson Meadows,Ward 13 - Rideau-Rockcliffe,Sector 32,1/15/2018 5:00:00 AM,1/12/2018 5:00:00 AM,2018,"MONTREAL RD, BATHGATE DR, BURMA RD",East,5050062.01,Afternoon,Rawlson King,1100,1700,373224.2952,5034519.279
28,1997,"HONDA/AMERICAN HONDA MOTOR CO.,",ACCORD,Automobile,GRY,,Monday,Y,Orléans North West,Ward 2 - Orléans West-Innes,Sector 31,1/15/2018 5:00:00 AM,1/15/2018 5:00:00 AM,2018,"D'ORLEANS BLVD, TIMOTHY CRT",East,5050124.04,Evening,Laura Dudas,1800,1800,380134.9261,5037899.5899
29,2009,"HONDA/AMERICAN HONDA MOTOR CO.,",CIVIC (AND CRX),Automobile,WHI,,Sunday,Y,Hunt Club East - Western Community,Ward 16 - River,Sector 35,1/15/2018 5:00:00 AM,1/14/2018 5:00:00 AM,2018,"PAUL ANKA DR, UPLANDS DR",East,5050002.05,Evening,Riley Brockington,600,2200,369457.9136,5023574.5079
30,2003,"HONDA/AMERICAN HONDA MOTOR CO.,",ACCORD,Automobile,BLU,,Wednesday,Y,Hintonburg - Mechanicsville,Ward 15 - Kitchissippi,Sector 21,1/18/2018 5:00:00 AM,1/17/2018 5:00:00 AM,2018,"BARNSLEY PRIV, FORWARD AVE",Central,5050046.00,Evening,Jeff Leiper,1300,1800,364909.3633,5030031.4129
31,2010,CHEVROLET,MALIBU,Automobile,SIL,,Friday,N,Hunt Club Upper -Blossom Park - Timbermill,Ward 10 - Gloucester-Southgate,Sector 35,1/19/2018 5:00:00 AM,1/19/2018 5:00:00 AM,2018,"HOGARTH AVE W, BANNON WAY W",East,5050123.04,Evening,Jessica Bradley,200,1800,373044.6896,5023155.6607
32,2003,ACURA,MDX,Suv,BLK,,Wednesday,Y,East Industrial,Ward 18 - Alta Vista,Sector 33,1/19/2018 5:00:00 AM,1/17/2018 5:00:00 AM,2018,LAGAN WAY: SHORE ST,East,5050011.01,Afternoon,Marty Carr,1300,1300,372938.0514,5030711.3141
33,,"MASSEY-FERGUSON, INC./ SKI WHIZ/ MASSEY/SKI-WHIZ",,Other,REDGRY,,Friday,N,East Industrial,Ward 18 - Alta Vista,Sector 33,1/20/2018 5:00:00 AM,1/19/2018 5:00:00 AM,2018,"SANFORD FLEMING AVE, STEAMLINE ST",East,5050011.01,Afternoon,Marty Carr,1300,1400,370872.7603,5030708.7435
34,2014,"HONDA/AMERICAN HONDA MOTOR CO.,",ODYSSEY(MINIVAN),Van,BLK,,Saturday,Y,Richmond,Ward 21 - Rideau-Jock,Sector 12,1/20/2018 5:00:00 AM,1/20/2018 5:00:00 AM,2018,"DR. NEELIN DR, MOORE ST",West,5050151.03,Evening,David Brown,200,2000,356575.5051,5006949.3952
35,2011,FORD,,Van,,,Monday,Y,Orléans Chapel Hill South,Ward 19 - Orléans South-Navan,Sector 31,1/22/2018 5:00:00 AM,1/22/2018 5:00:00 AM,2018,"INNES RD, LAMARCHE AVE",East,5050125.10,Afternoon,Catherine Kitts,1700,1700,381086.3983,5034648.9606
36,2014,BMW,200,Automobile,BLK,,Sunday,Y,Hunt Club Upper -Blossom Park - Timbermill,Ward 10 - Gloucester-Southgate,Sector 35,1/22/2018 5:00:00 AM,1/21/2018 5:00:00 AM,2018,"BRIGHAM WAY, HANK RIVERS DR S",East,5050123.03,Afternoon,Jessica Bradley,700,1700,372474.1739,5024117.2586
37,2016,"TOYOTA/ TOYOTA MOTOR CO., LTD.",COROLLA,Automobile,DGR,,Monday,Y,East Industrial,Ward 11 - Beacon Hill-Cyrville,Sector 33,1/23/2018 5:00:00 AM,1/22/2018 5:00:00 AM,2018,"HIGHWAY 417, HWY 417 INNES IC112R54",East,5050122.02,Evening,Tim Tierney,1100,1800,374161.2598,5031268.2025
38,2012,CHEVROLET,EXPRESS,Van,WHI,,Wednesday,Y,Tanglewood,Ward 9 - Knoxdale-Merivale,Sector 17,1/24/2018 5:00:00 AM,1/24/2018 5:00:00 AM,2018,"BENLEA DR, CARDIGAN DR",West,5050130.02,Afternoon,Sean Devine,1700,1700,364112.5892,5021535.4593
39,2014,FORD,F150,Automobile,RED,,Tuesday,N,Carlington,Ward 16 - River,Sector 21,1/24/2018 5:00:00 AM,1/23/2018 5:00:00 AM,2018,"CHATELAIN AVE, LARKIN ST",Central,5050022.00,Evening,Riley Brockington,800,2300,364408.8893,5026496.5305
40,2005,CHRYSLER/ CHRYSLER OUTBOARD CORPORATION,300,Automobile,WHI,,Wednesday,Y,Ledbury - Heron Gate - Ridgemont - Elmwood,Ward 10 - Gloucester-Southgate,Sector 34,1/24/2018 5:00:00 AM,1/24/2018 5:00:00 AM,2018,"HEATHERINGTON RD, FAIRLEA CRES S, ANGELA PRIV",East,5050001.09,Afternoon,Jessica Bradley,1200,1200,371874.9212,5026500.5284
41,2000,DODGE,,Automobile,DGR,1000,Friday,N,Bayshore,Ward 7 - Bay,Sector 14,1/26/2018 5:00:00 AM,1/26/2018 5:00:00 AM,2018,"BAYSHORE DR, WOODRIDGE CRES S",West,5050138.00,Night,Theresa Kavanagh,900,500,359236.4591,5023511.7923
42,2009,JEEP (1989 AND AFTER),PATRIOT,Suv,BLU,15000,Saturday,Y,Vars,Ward 20 - Osgoode,Sector 37,1/27/2018 5:00:00 AM,1/27/2018 5:00:00 AM,2018,"FARWEL ST, ROCKDALE RD",East,5050171.03,Evening,George Darouze,1800,1800,394881.061,5024112.4529
43,2013,KIA MOTORS CORPORATION,SORENTO,Automobile,BRZ,12000,Sunday,Y,Centretown,Ward 14 - Somerset,Sector 23,1/28/2018 5:00:00 AM,1/28/2018 5:00:00 AM,2018,"NEPEAN ST, BANK ST",Central,5050038.00,Night,Ariel Troster,200,200,367563.7272,5031133.0582
44,2009,LEXUS,ES350,Automobile,GRY,,Sunday,Y,Centretown,Ward 14 - Somerset,Sector 23,1/28/2018 5:00:00 AM,1/28/2018 5:00:00 AM,2018,"ARLINGTON AVE, PERCY ST",Central,5050039.00,,Ariel Troster,1000,,367449.899,5030003.56
45,2016,DODGE,RAM 1500 PU,Truck,BLK,,Sunday,N,Hunt Club - Ottawa Airport,Ward 10 - Gloucester-Southgate,Sector 35,1/29/2018 5:00:00 AM,1/28/2018 5:00:00 AM,2018,"RIVERSIDE DR, 175 S OF HUNT CLUB  RD, RUNWAY CENTRE",East,5050002.06,Afternoon,Jessica Bradley,1400,1700,368035.5989,5021780.527
46,2018,KUBOTA TRACTOR CORP.,,Other,ONG,57000,Monday,N,Russell - Edwards,Ward 20 - Osgoode,Sector 37,1/29/2018 5:00:00 AM,1/29/2018 5:00:00 AM,2018,"PIPERVILLE RD, ANDERSON RD",East,5050126.04,Morning,George Darouze,1000,1000,381296.9723,5022970.4925
47,2012,CHEVROLET,SILVERADO,Truck,GRY,,Monday,Y,Orléans Avalon - Notting Gate - Fallingbrook - Gardenway South,Ward 1 - Orléans East-Cumberland,Sector 31,1/29/2018 5:00:00 AM,1/29/2018 5:00:00 AM,2018,"TENTH LINE RD , 240 S OF CHARLEMAGNE BLVD/DES EPINETTES AVE, CANADIAN TIRE SC",East,5050170.08,Afternoon,Matthew Luloff,1500,1300,383736.373,5036676.4495
48,2012,DODGE,RAM 1500 PU,Automobile,BLK,,Sunday,Y,Blackburn Hamlet,Ward 2 - Orléans West-Innes,Sector 31,1/29/2018 5:00:00 AM,12/31/2017 5:00:00 AM,2018,"ORIENT PARK DR, BELMORE LANE",East,5050125.02,Evening,Laura Dudas,900,1900,378478.9353,5032919.558
49,2008,"HONDA/AMERICAN HONDA MOTOR CO.,",CIVIC (AND CRX),Automobile,BLK,,Saturday,Y,Ledbury - Heron Gate - Ridgemont - Elmwood,Ward 16 - River,Sector 34,1/30/2018 5:00:00 AM,1/27/2018 5:00:00 AM,2018,"AIRPORT PKY NB OFF RAMP, TRANSITWAY",East,5050001.10,Evening,Riley Brockington,1200,2300,370190.9154,5025638.5225
50,2007,FORD,ECONOLINE E250,Van,WHI,10000,Friday,Y,Rothwell Heights - Beacon Hill North,Ward 11 - Beacon Hill-Cyrville,Sector 32,1/31/2018 5:00:00 AM,1/26/2018 5:00:00 AM,2018,"CANOTEK RD, POLYTEK ST",East,5050120.02,Afternoon,Tim Tierney,1200,1700,376449.9188,5035606.5875
51,2006,MAZDA,MAZDA 3,Automobile,BLU,8000,Wednesday,Y,Cummings,Ward 11 - Beacon Hill-Cyrville,Sector 32,1/31/2018 5:00:00 AM,1/31/2018 5:00:00 AM,2018,"BOWMOUNT ST, HENDON WAY",East,5050122.01,Afternoon,Tim Tierney,1800,1600,372412.9122,5032503.5742
52,2002,AUDI,,Atv (4 Wheeler),RED,500,Friday,Y,Hunt Club South Industrial,Ward 9 - Knoxdale-Merivale,Sector 17,2/2/2018 5:00:00 AM,2/2/2018 5:00:00 AM,2018,"ANTARES DR, CAPELLA CRT",West,5050130.01,Afternoon,Sean Devine,1200,1200,366788.9007,5021768.4924
53,,,,Other,,,Friday,Y,Hintonburg - Mechanicsville,Ward 15 - Kitchissippi,Sector 21,2/2/2018 5:00:00 AM,2/2/2018 5:00:00 AM,2018,"BAYSWATER AVE, SOMERSET ST",Central,5050043.00,Night,Jeff Leiper,700,500,365814.5294,5029909.5799
54,1999,FORD,F150,Automobile,BRN,,Saturday,Y,Centretown,Ward 14 - Somerset,Sector 23,2/3/2018 5:00:00 AM,2/3/2018 5:00:00 AM,2018,"JACK PURCELL LANE, FRANK ST",Central,5050037.02,Morning,Ariel Troster,1200,900,368317.9008,5030880.5667
55,2007,FORD,RANGER,Truck,GRY,,Saturday,Y,Vanier South,Ward 12 - Rideau-Vanier,Sector 25,2/3/2018 5:00:00 AM,2/3/2018 5:00:00 AM,2018,"ALTHA AVE, LEVIS AVE",Central,5050102.00,Morning,Stéphanie Plante,900,800,370687.9047,5033209.5842
56,2002,"HONDA/AMERICAN HONDA MOTOR CO.,",CRV,Suv,BLU,,Saturday,Y,Cityview - Skyline - Fisher Heights,Ward 9 - Knoxdale-Merivale,Sector 17,2/3/2018 5:00:00 AM,2/3/2018 5:00:00 AM,2018,"BASELINE RD, WALMART SC / 207 E OF CLYDE AVE",West,5050023.02,Morning,Sean Devine,700,700,364614.978,5025049.7498
57,2003,"TOYOTA/ TOYOTA MOTOR CO., LTD.",ECHO,Automobile,RED,,Sunday,Y,Woodroffe - Lincoln Heights,Ward 7 - Bay,Sector 14,2/5/2018 5:00:00 AM,2/4/2018 5:00:00 AM,2018,"AMBLESIDE DR, MCEWEN AVE",West,5050031.00,Evening,Theresa Kavanagh,800,1800,361031.0296,5025990.1465
58,2015,DODGE,,Van,BLU,,Saturday,Y,Woodvale - Craig Henry - Manordale - Estates of Arlington Woods,Ward 9 - Knoxdale-Merivale,Sector 15,2/5/2018 5:00:00 AM,2/3/2018 5:00:00 AM,2018,"CRAIG HENRY DR, JACK AARON DR",West,5050135.01,Evening,Sean Devine,700,1900,362421.7237,5021882.4615
59,2017,GENERAL MOTORS CORP.,,Truck,WHI,,Friday,Y,Pineview,Ward 11 - Beacon Hill-Cyrville,Sector 32,2/5/2018 5:00:00 AM,1/26/2018 5:00:00 AM,2018,"FINE CRES, MEADOWBROOK RD S",East,5050122.02,Evening,Tim Tierney,1100,1900,374645.5725,5031324.7472
60,2015,JOHN DEERE/ DEERE AND COMPANY,,Other,DGRYEL,,Monday,N,Orléans Chapel Hill South,Ward 19 - Orléans South-Navan,Sector 31,2/6/2018 5:00:00 AM,2/5/2018 5:00:00 AM,2018,"INNES RD, 260 E OF FRANK BENDER ST, WALMART SC",East,5050125.10,Afternoon,Catherine Kitts,1200,1600,382348.8863,5035394.8228
61,2012,FORD,FOCUS,Automobile,BLK,,Tuesday,Y,Carlington,Ward 16 - River,Sector 21,2/6/2018 5:00:00 AM,2/6/2018 5:00:00 AM,2018,"CALDWELL AVE, MERIVALE RD",Central,5050022.00,Afternoon,Riley Brockington,1200,1200,364906.8155,5026227.1004
62,2006,CHRYSLER/ CHRYSLER OUTBOARD CORPORATION,300,Automobile,GLD,,Wednesday,Y,Lowertown,Ward 12 - Rideau-Vanier,Sector 24,2/7/2018 5:00:00 AM,2/7/2018 5:00:00 AM,2018,"BESSERER ST, KING EDWARD AVE",Central,5050053.00,Afternoon,Stéphanie Plante,1600,1400,368552.594,5032339.2973
63,2016,BMW,,Automobile,RED,,Wednesday,Y,Borden Farm - Stewart Farm - Parkwood Hills - Fisher Glen,Ward 9 - Knoxdale-Merivale,Sector 17,2/8/2018 5:00:00 AM,2/7/2018 5:00:00 AM,2018,"INVERNESS AVE, MEADOWLANDS DR",West,5050131.02,Afternoon,Sean Devine,800,1700,365758.0164,5024717.8368
64,2010,FORD,F150,Truck,WHI,,Sunday,N,Hawthorne Meadows - Sheffield Glen,Ward 18 - Alta Vista,Sector 33,2/9/2018 5:00:00 AM,12/17/2017 5:00:00 AM,2018,"PLEASANT PARK RD, ST. LAURENT BLVD",East,5050010.00,Evening,Marty Carr,800,2300,373599.6504,5028795.6337
65,2015,HYUNDAI,SONATA,Automobile,WHI,,Friday,Y,Katimavik - Hazeldean,Ward 23 - Kanata South,Sector 13,2/9/2018 5:00:00 AM,2/9/2018 5:00:00 AM,2018,"PICKFORD DR, TANGUAY CRT",West,5050160.04,Morning,Allan Hubley,900,900,353218.2124,5018336.9643
66,2008,"HONDA/AMERICAN HONDA MOTOR CO.,",CRV,Suv,BGE,,Thursday,Y,Carlington,Ward 16 - River,Sector 21,2/9/2018 5:00:00 AM,2/8/2018 5:00:00 AM,2018,"CARLING AVE, MERIVALE RD EXTENSION",Central,5050021.00,Evening,Riley Brockington,700,2000,364950.8915,5027733.5412
67,,KUBOTA TRACTOR CORP.,,Other,ONG,,Saturday,Y,West Centertown,Ward 17 - Capital,Sector 22,2/10/2018 5:00:00 AM,2/10/2018 5:00:00 AM,2018,"BELL ST S, POWELL AVE",Central,5050035.00,Morning,Shawn Menard,600,600,367200.899,5029384.5548
68,2015,MITSUBISHI,RVR,Automobile,GRY,25000,Saturday,Y,South Keys - Heron Gate - Greenboro West,Ward 10 - Gloucester-Southgate,Sector 35,2/10/2018 5:00:00 AM,2/10/2018 5:00:00 AM,2018,"JOHNSTON RD, TAPIOLA CRES W",East,5050001.04,Afternoon,Jessica Bradley,1400,1400,371572.0413,5025263.5992
69,2015,DODGE,RAM 1500 PU,Truck,WHI,,Friday,N,Stittsville,Ward 6 - Stittsville,Sector 13,2/11/2018 5:00:00 AM,2/9/2018 5:00:00 AM,2018,"ANGEL HTS, BOBOLINK RIDGE",West,5050151.08,Evening,Glen Gower,1400,1800,351972.0265,5014403.4864
70,2003,,,Atv (4 Wheeler),GRN,5000,Saturday,N,Metcalfe,Ward 20 - Osgoode,Sector 36,2/12/2018 5:00:00 AM,2/10/2018 5:00:00 AM,2018,"9TH LINE RD, CASTOR RD N",East,5050190.01,Evening,George Darouze,1200,1900,390263.9871,5004647.3414
71,2009,AUDI,,Automobile,WHI,,Friday,N,Russell - Edwards,Ward 20 - Osgoode,Sector 37,2/12/2018 5:00:00 AM,2/9/2018 5:00:00 AM,2018,"DONCASTER RD, RIDEAU RD",East,5050126.04,Evening,George Darouze,900,1800,378122.9587,5018524.4704
72,2011,BMW,328I,Automobile,BLK,,Monday,Y,Civic Hospital-Central Park,Ward 15 - Kitchissippi,Sector 21,2/12/2018 5:00:00 AM,2/12/2018 5:00:00 AM,2018,"CARLING AVE, ISLAND PARK DR",Central,5050034.00,Evening,Jeff Leiper,200,2300,365348.8922,5027996.5441
73,2008,PONTIAC,G5,Automobile,GRY,,Friday,N,Russell - Edwards,Ward 20 - Osgoode,Sector 37,2/12/2018 5:00:00 AM,1/12/2018 5:00:00 AM,2018,"LEITRIM RD S, RAMSAYVILLE RD",East,5050126.04,,George Darouze,,,378785.9579,5023728.5014
74,2003,FORD,EXPLORER,Truck,BLK,6000,Sunday,N,Greenboro East,Ward 10 - Gloucester-Southgate,Sector 35,2/12/2018 5:00:00 AM,2/11/2018 5:00:00 AM,2018,"CAHILL DR, VERDON PRIV E",East,5050001.06,Evening,Jessica Bradley,1100,2100,372016.6291,5024842.5606
75,2010,CHRYSLER/ CHRYSLER OUTBOARD CORPORATION,300,Automobile,WHI,,Monday,Y,Ledbury - Heron Gate - Ridgemont - Elmwood,Ward 16 - River,Sector 34,2/12/2018 5:00:00 AM,2/12/2018 5:00:00 AM,2018,"HAMPSTEAD PL, NOTTING HILL AVE",East,5050001.10,Morning,Riley Brockington,700,600,370792.6739,5025965.9763
76,2015,MERCEDES-BENZ,,Suv,WHI,94000,Wednesday,N,Hunt Club Upper -Blossom Park - Timbermill,Ward 10 - Gloucester-Southgate,Sector 35,2/13/2018 5:00:00 AM,1/31/2018 5:00:00 AM,2018,"ALBION RD, ALBION RD S",East,5050123.03,Morning,Jessica Bradley,1500,800,371944.205,5024134.6825
77,2001,"TOYOTA/ TOYOTA MOTOR CO., LTD.",,Automobile,BLK,,Tuesday,Y,Orléans Avalon - Notting Gate - Fallingbrook - Gardenway South,Ward 19 - Orléans South-Navan,Sector 31,2/13/2018 5:00:00 AM,2/13/2018 5:00:00 AM,2018,"BRIAN COBURN BLVD, TRIM RD",East,5050171.13,Afternoon,Catherine Kitts,1900,1700,387148.9011,5035807.1516
78,2013,PORSCHE,,Suv,BLK,55000,Monday,N,Hunt Club Park,Ward 10 - Gloucester-Southgate,Sector 33,2/13/2018 5:00:00 AM,2/12/2018 5:00:00 AM,2018,"BLOHM DR, SOUTHLAND CRES S",East,5050001.07,Afternoon,Jessica Bradley,800,1600,373682.9299,5026007.5223
79,,,,Other,BLKGRY,1700,Tuesday,N,Lowertown,Ward 12 - Rideau-Vanier,Sector 24,2/13/2018 5:00:00 AM,2/13/2018 5:00:00 AM,2018,"FRIEL ST, RIDEAU ST",Central,5050053.00,Morning,Stéphanie Plante,1000,1000,368771.8989,5032569.5813
80,1995,DODGE,RAM 1500 PU,Truck,GRY,,Tuesday,Y,Carp,Ward 5 - West Carleton-March,Sector 11,2/14/2018 5:00:00 AM,2/13/2018 5:00:00 AM,2018,"CARDEVCO RD, WESCAR LANE",West,5050300.01,Afternoon,Clarke Kelly,1000,1200,345813.7552,5017051.4599
